fname,date,group_number,lat_max,lat_mean,lat_min,long_max,long_mean,long_min,area,nspots,ncores,nspots_with_cores,tilt,complexity,B0,L0
201706180301_50,2017-06-18 03:01:00,50,14.326183113299885,13.381682517925162,12.521461378805649,99.54586335445472,95.85121804157056,89.72455851142652,114.9748861695558,5,7,5,3.7723731982827937,156,1.4,65.2
201706180301_49,2017-06-18 03:01:00,49,13.401663529735133,12.38099118490814,11.430003332099929,51.909062631311905,51.00428387796761,50.139157068002994,123.00956017678827,1,1,1,-8.21005795813805,81,1.4,65.2
201706200839_49,2017-06-20 08:39:00,49,13.460694481404627,12.670657823590828,11.720112466596673,52.49223998526524,51.68990001519851,50.9783066320995,90.94899969338482,1,2,1,-5.705820261790769,70,1.7,35.6
201706210432_49,2017-06-21 04:32:00,49,13.795574766110654,13.086177572371641,12.107042588360018,52.683048138007315,51.653211711709965,50.17243939081403,79.07332102068098,3,3,3,-0.9857711816571386,106,1.7,24.7
201706220354_49,2017-06-22 03:54:00,49,13.311238296083673,12.790063081383376,12.249653285873276,52.8865604505177,52.073587217654534,51.34304220862475,37.753248519449755,1,3,1,0.7223395707936385,81,1.9,11.8
201706220354_51,2017-06-22 03:54:00,51,17.90155264308335,16.968135317214113,16.078600750402046,313.1026102796672,312.11861014773996,311.14475936500924,124.02873120706377,1,1,1,-27.16870112927823,88,1.9,11.8
201706230401_51,2017-06-23 04:01:00,51,18.2663563106368,17.383329886545017,16.501304540227114,312.81159512985903,311.82440992736736,310.9122534779021,112.98818177814628,1,1,1,-7.995479797527349,56,2.0,358.5
201706230401_49,2017-06-23 04:01:00,49,13.071278238684313,12.65007611382914,12.283251871474135,52.41567979466862,51.95868206894789,51.472795068569155,30.132265368036666,1,1,1,11.010303190715764,56,2.0,358.5
201706240309_51,2017-06-24 03:09:00,51,18.402690919772667,17.542545124216602,16.297714618986937,315.11681823824637,311.71710940277717,310.65532359967955,114.7578773087669,3,1,1,11.651843423996365,77,2.1,345.7
201706250444_51,2017-06-25 04:44:00,51,19.87424521327309,17.942529253767955,16.88406837993852,316.65890108886884,312.0749796007836,306.01291094695944,139.5276402707078,6,4,4,-0.6789442851502622,219,2.2,331.6
201706260338_51,2017-06-26 03:38:00,51,20.59034587798385,18.58669609964685,16.849281250681095,317.0788924467809,312.1817330557208,310.424862620386,151.12994161901372,9,3,3,-3.8358639021039718,146,2.3,319.0
201706270403_51,2017-06-27 04:03:00,51,20.766529525952272,18.835108323796067,17.197744369555412,315.45612089816564,312.6335619384277,310.7745995616787,184.69938825698284,6,7,4,-15.980391009874012,112,2.4,305.5
201706280352_51,2017-06-28 03:52:00,51,20.543478558723322,18.24450521511854,17.175788481556648,316.07248640077086,312.0467431589043,310.46676228813527,107.1771716278298,7,2,2,-5.837086475295304,117,2.5,292.4
201706290315_51,2017-06-29 03:15:00,51,18.667198382686387,17.92795325016789,17.203288556304656,316.42911013780633,311.61201658195813,310.50285274786694,87.59400438372515,2,1,1,-2.7965927034102864,87,2.7,279.5
201706300240_51,2017-06-30 02:40:00,51,18.924539762900764,18.108943835111656,17.317182309917495,316.8523006410196,311.38127846474015,310.41997381372386,93.22671881428649,2,1,1,3.705772423452877,80,2.8,266.6
201707010305_52,2017-07-01 03:05:00,52,2.200091977239344,2.1005664162623967,2.013473957320282,307.090229345857,307.00557469515604,306.93032384535036,2.346772031229351,1,0,0,3.278774758628015e-15,24,2.9,253.1
201707010305_51,2017-07-01 03:05:00,51,18.12330086191572,17.54472297066978,16.93922875638248,312.07875656009253,311.3511498467007,310.6626681804315,65.50932413740803,1,1,1,32.60476476450606,76,2.9,253.1
201707080332_53,2017-07-08 03:32:00,53,-3.781647549986205,-5.071341493565948,-6.471482147220211,115.10589360935712,110.85507926599436,104.6500551593722,635.7502651195703,9,8,5,5.78183126748638,154,3.6,160.2
201707090529_53,2017-07-09 05:29:00,53,-3.910962893331542,-5.744418576735016,-7.66817822348315,116.01855457256,111.17809736655177,104.59453673229791,1036.4093526094505,8,21,6,5.649205923816178,234,3.7,145.9
201707090529_54,2017-07-09 05:29:00,54,13.006656784133973,12.780088859465295,12.550949518203273,150.73151471336578,150.59236185160768,150.44598192154672,6.685060647349332,1,1,1,-14.114001978097622,19,3.7,145.9
201707100319_53,2017-07-10 03:19:00,53,-3.596826561160284,-5.840916548038543,-8.816502150165247,116.60572857260081,111.72319941896221,104.995380246959,920.2982337250096,15,20,9,5.226576750084624,284,3.8,133.9
201707100319_54,2017-07-10 03:19:00,54,13.084991827064776,12.625156043984955,12.122597288169189,151.63618190203815,149.8373387148599,148.49732770803737,9.419904539844355,2,1,1,12.767535143974895,36,3.8,133.9
201707110305_53,2017-07-11 03:05:00,53,-3.638025024053871,-5.841571004332121,-7.9213762803142895,117.19815279707471,112.48496218330317,105.05806465837576,890.915731726323,15,16,5,3.494423367484624,250,3.9,120.8
201707120320_55,2017-07-12 03:20:00,55,14.596691105083101,13.416211319874144,12.822619091730564,102.59942657697388,100.705288960704,98.67753071364844,23.21860614338193,5,1,1,13.07569287961478,117,4.0,107.4
201707120320_54,2017-07-12 03:20:00,54,11.796197349778414,11.623397577195089,11.477297527310025,151.9788520866424,151.79425730862698,151.5967307776981,5.647722323045205,1,0,0,-17.123991627470065,15,4.0,107.4
